"Month","Exchange rate of Australian dollar: $A for 1 US dollar. Monthly average: Jul 1969 ? Aug 1995"
"1985-02",0.714
"1985-03",0.705
"1985-04",0.652
"1985-05",0.658
"1985-06",0.666
"1985-07",0.727
"1985-08",0.703
"1985-09",0.708
"1985-10",0.700
"1985-11",0.685
"1985-12",0.681
"1986-01",0.716
"1986-02",0.701
"1986-03",0.712
"1986-04",0.739
"1986-05",0.717
"1986-06",0.677
"1986-07",0.598
"1986-08",0.609
"1986-09",0.627
"1986-10",0.642
"1986-11",0.649
"1986-12",0.665
"1987-01",0.661
"1987-02",0.675
"1987-03",0.705
"1987-04",0.705
"1987-05",0.714
"1987-06",0.720
"1987-07",0.698
"1987-08",0.712
"1987-09",0.719
"1987-10",0.676
"1987-11",0.705
"1987-12",0.723
"1988-01",0.714
"1988-02",0.720
"1988-03",0.739
"1988-04",0.759
"1988-05",0.805
"1988-06",0.794
"1988-07",0.805
"1988-08",0.807
"1988-09",0.783
"1988-10",0.826
"1988-11",0.878
"1988-12",0.856
"1989-01",0.889
"1989-02",0.800
"1989-03",0.819
"1989-04",0.793
"1989-05",0.748
"1989-06",0.755
"1989-07",0.752
"1989-08",0.766
"1989-09",0.776
"1989-10",0.783
"1989-11",0.782
"1989-12",0.793
"1990-01",0.771
"1990-02",0.759
"1990-03",0.754
"1990-04",0.751
"1990-05",0.769
"1990-06",0.789
"1990-07",0.790
"1990-08",0.816
"1990-09",0.827
"1990-10",0.785
"1990-11",0.775
"1990-12",0.773
"1991-01",0.785
"1991-02",0.785
"1991-03",0.775
"1991-04",0.782
"1991-05",0.761
"1991-06",0.768
"1991-07",0.778
"1991-08",0.785
"1991-09",0.800
"1991-10",0.784
"1991-11",0.785
"1991-12",0.760
"1992-01",0.750
"1992-02",0.755
"1992-03",0.768
"1992-04",0.759
"1992-05",0.759
"1992-06",0.749
"1992-07",0.744
"1992-08",0.713
"1992-09",0.714
"1992-10",0.695
"1992-11",0.682
"1992-12",0.688
"1993-01",0.679
"1993-02",0.696
"1993-03",0.706
"1993-04",0.712
"1993-05",0.677
"1993-06",0.672
"1993-07",0.683
"1993-08",0.671
"1993-09",0.645
"1993-10",0.666
"1993-11",0.657
"1993-12",0.677
"1994-01",0.711
"1994-02",0.718
"1994-03",0.701
"1994-04",0.712
"1994-05",0.736
"1994-06",0.729
"1994-07",0.739
"1994-08",0.743
"1994-09",0.739
"1994-10",0.742
"1994-11",0.767
"1994-12",0.777
"1995-01",0.758
"1995-02",0.740
"1995-03",0.728
"1995-04",0.730
"1995-05",0.714
"1995-06",0.709
"1995-07",0.739
"1995-08",0.752

Exchange rate of Australian dollar: $A for 1 US dollar. Monthly average: Jul 1969 ? Aug 1995

