"Month","Exchange Rate TWI. May 1970 ? Aug 1995."
"1978-06",86.2
"1978-07",84.7
"1978-08",83.7
"1978-09",83.6
"1978-10",82.2
"1978-11",83.2
"1978-12",82.7
"1979-01",82.8
"1979-02",82.4
"1979-03",82.3
"1979-04",82.8
"1979-05",83.1
"1979-06",83.1
"1979-07",83.3
"1979-08",83.5
"1979-09",83.5
"1979-10",83.7
"1979-11",83.6
"1979-12",83.3
"1980-01",83.2
"1980-02",83.5
"1980-03",84.4
"1980-04",84.5
"1980-05",84.7
"1980-06",85.0
"1980-07",85.5
"1980-08",85.8
"1980-09",85.8
"1980-10",86.2
"1980-11",86.8
"1980-12",87.1
"1981-01",87.5
"1981-02",88.2
"1981-03",88.8
"1981-04",89.5
"1981-05",90.8
"1981-06",92.9
"1981-07",94.2
"1981-08",94.4
"1981-09",93.8
"1981-10",93.0
"1981-11",91.2
"1981-12",90.5
"1982-01",90.1
"1982-02",89.2
"1982-03",88.8
"1982-04",88.2
"1982-05",88.0
"1982-06",88.2
"1982-07",86.1
"1982-08",84.1
"1982-09",83.8
"1982-10",83.9
"1982-11",83.5
"1982-12",83.4
"1983-01",83.6
"1983-02",82.4
"1983-03",76.1
"1983-04",76.2
"1983-05",77.6
"1983-06",77.7
"1983-07",78.8
"1983-08",79.6
"1983-09",80.4
"1983-10",81.7
"1983-11",82.0
"1983-12",81.1
"1984-01",83.5
"1984-02",84.2
"1984-03",82.9
"1984-04",82.6
"1984-05",81.6
"1984-06",79.2
"1984-07",78.7
"1984-08",80.1
"1984-09",80.3
"1984-10",82.0
"1984-11",83.5
"1984-12",81.3
"1985-01",80.8
"1985-02",72.3
"1985-03",69.2
"1985-04",64.2
"1985-05",64.8
"1985-06",65.0
"1985-07",68.5
"1985-08",66.4
"1985-09",64.8
"1985-10",63.4
"1985-11",60.9
"1985-12",60.7
"1986-01",62.7
"1986-02",59.8
"1986-03",61.1
"1986-04",61.4
"1986-05",60.7
"1986-06",56.3
"1986-07",49.3
"1986-08",50.3
"1986-09",51.9
"1986-10",54.0
"1986-11",54.3
"1986-12",55.0
"1987-01",52.8
"1987-02",54.1
"1987-03",55.4
"1987-04",54.5
"1987-05",55.8
"1987-06",56.6
"1987-07",55.3
"1987-08",55.2
"1987-09",56.2
"1987-10",51.7
"1987-11",52.3
"1987-12",52.0
"1988-01",52.5
"1988-02",53.1
"1988-03",53.8
"1988-04",55.2
"1988-05",58.9
"1988-06",59.8
"1988-07",61.0
"1988-08",61.8
"1988-09",60.0
"1988-10",61.1
"1988-11",63.7
"1988-12",63.2
"1989-01",66.7
"1989-02",59.6
"1989-03",62.2
"1989-04",60.0
"1989-05",58.8
"1989-06",59.4
"1989-07",57.8
"1989-08",60.0
"1989-09",59.8
"1989-10",60.7
"1989-11",60.4
"1989-12",61.1
"1990-01",59.4
"1990-02",59.0
"1990-03",59.8
"1990-04",59.6
"1990-05",60.2
"1990-06",61.6
"1990-07",60.4
"1990-08",61.4
"1990-09",61.6
"1990-10",57.2
"1990-11",56.9
"1990-12",57.3
"1991-01",57.5
"1991-02",57.9
"1991-03",59.7
"1991-04",60.2
"1991-05",58.5
"1991-06",59.7
"1991-07",60.1
"1991-08",60.5
"1991-09",60.6
"1991-10",59.3
"1991-11",59.0
"1991-12",55.9
"1992-01",55.8
"1992-02",56.8
"1992-03",58.6
"1992-04",57.9
"1992-05",56.9
"1992-06",55.2
"1992-07",54.7
"1992-08",51.6
"1992-09",51.7
"1992-10",51.9
"1992-11",51.8
"1992-12",52.4
"1993-01",51.6
"1993-02",52.7
"1993-03",52.9
"1993-04",52.3
"1993-05",49.4
"1993-06",49.5
"1993-07",50.6
"1993-08",49.3
"1993-09",47.3
"1993-10",49.4
"1993-11",49.1
"1993-12",50.8
"1994-01",54.0
"1994-02",53.6
"1994-03",52.1
"1994-04",52.6
"1994-05",54.6
"1994-06",53.0
"1994-07",53.9
"1994-08",53.9
"1994-09",53.4
"1994-10",53.1
"1994-11",55.5
"1994-12",56.2
"1995-01",54.5
"1995-02",52.9
"1995-03",50.7
"1995-04",49.6
"1995-05",48.5
"1995-06",48.4
"1995-07",51.0
"1995-08",53.9

Exchange Rate TWI. May 1970 ? Aug 1995.

