"Time","Internet traffic data (in bits) from an ISP. Aggregated traffic in the United Kingdom academic network backbone. It was collected between 19 November 2004, at 09:30 hours and 27 January 2005, at 11:11 hours. Hourly data"
"2004-11-24 01:30:00",67312.915
"2004-11-24 02:30:00",60855.282
"2004-11-24 03:30:00",55619.246
"2004-11-24 04:30:00",50997.383
"2004-11-24 05:30:00",47565.928
"2004-11-24 06:30:00",45270.163
"2004-11-24 07:30:00",48382.999
"2004-11-24 08:30:00",64916.416
"2004-11-24 09:30:00",91055.529
"2004-11-24 10:30:00",102021.363
"2004-11-24 11:30:00",101453
"2004-11-24 12:30:00",102830.483
"2004-11-24 13:30:00",119116.364
"2004-11-24 14:30:00",106297.849
"2004-11-24 15:30:00",81473.416
"2004-11-24 16:30:00",75003.65
"2004-11-24 17:30:00",67270.899
"2004-11-24 18:30:00",61745.19
"2004-11-24 19:30:00",60069.544
"2004-11-24 20:30:00",55082.136
"2004-11-24 21:30:00",53785.152
"2004-11-24 22:30:00",51820.489
"2004-11-24 23:30:00",49220.787
"2004-11-25 00:30:00",45354.131
"2004-11-25 01:30:00",38464.389
"2004-11-25 02:30:00",34335
"2004-11-25 03:30:00",31852.582
"2004-11-25 04:30:00",28444.123
"2004-11-25 05:30:00",27960.347
"2004-11-25 06:30:00",29380.717
"2004-11-25 07:30:00",32337.982
"2004-11-25 08:30:00",44782.657
"2004-11-25 09:30:00",65160
"2004-11-25 10:30:00",74067.274
"2004-11-25 11:30:00",80437.905
"2004-11-25 12:30:00",80415.565
"2004-11-25 13:30:00",83413.132
"2004-11-25 14:30:00",84793.399
"2004-11-25 15:30:00",81314.995
"2004-11-25 16:30:00",73975.34
"2004-11-25 17:30:00",66554.983
"2004-11-25 18:30:00",61711.489
"2004-11-25 19:30:00",58145.548
"2004-11-25 20:30:00",53628.75
"2004-11-25 21:30:00",51279.196
"2004-11-25 22:30:00",48923.357
"2004-11-25 23:30:00",46283.6
"2004-11-26 00:30:00",42701.972
"2004-11-26 01:30:00",37990.322
"2004-11-26 02:30:00",33373.495
"2004-11-26 03:30:00",30673.197
"2004-11-26 04:30:00",28032.506
"2004-11-26 05:30:00",26527.637
"2004-11-26 06:30:00",26178.832
"2004-11-26 07:30:00",30784.684
"2004-11-26 08:30:00",44053.78
"2004-11-26 09:30:00",62682.285
"2004-11-26 10:30:00",70084.37
"2004-11-26 11:30:00",76064.529
"2004-11-26 12:30:00",74957.997
"2004-11-26 13:30:00",72677.433
"2004-11-26 14:30:00",79244
"2004-11-26 15:30:00",74980.781
"2004-11-26 16:30:00",63487.752
"2004-11-26 17:30:00",54476.09
"2004-11-26 18:30:00",51138.512
"2004-11-26 19:30:00",51265.584
"2004-11-26 20:30:00",49326.515
"2004-11-26 21:30:00",46928.152
"2004-11-26 22:30:00",46398.889
"2004-11-26 23:30:00",44664.737
"2004-11-27 00:30:00",42590.082
"2004-11-27 01:30:00",39372.446
"2004-11-27 02:30:00",36232.874
"2004-11-27 03:30:00",34004.909
"2004-11-27 04:30:00",29333.91
"2004-11-27 05:30:00",28015.092
"2004-11-27 06:30:00",26969.569
"2004-11-27 07:30:00",25728.566
"2004-11-27 08:30:00",27591.345
"2004-11-27 09:30:00",31454.146
"2004-11-27 10:30:00",36188.715
"2004-11-27 11:30:00",39750.059
"2004-11-27 12:30:00",42938.62
"2004-11-27 13:30:00",47159.701
"2004-11-27 14:30:00",48890.799
"2004-11-27 15:30:00",51229.546
"2004-11-27 16:30:00",49557.58
"2004-11-27 17:30:00",48216.642
"2004-11-27 18:30:00",46392.541
"2004-11-27 19:30:00",48494.678
"2004-11-27 20:30:00",45924.987
"2004-11-27 21:30:00",45613.651
"2004-11-27 22:30:00",45172.749
"2004-11-27 23:30:00",45939.239
"2004-11-28 00:30:00",48667.98
"2004-11-28 01:30:00",44866.786
"2004-11-28 02:30:00",40357.237
"2004-11-28 03:30:00",37522.586
"2004-11-28 04:30:00",33910.18
"2004-11-28 05:30:00",28542.996
"2004-11-28 06:30:00",25969.81
"2004-11-28 07:30:00",24802.086
"2004-11-28 08:30:00",25395.482
"2004-11-28 09:30:00",29015.043
"2004-11-28 10:30:00",32984.091
"2004-11-28 11:30:00",39098.793
"2004-11-28 12:30:00",44756.288
"2004-11-28 13:30:00",49035.953
"2004-11-28 14:30:00",53261.755
"2004-11-28 15:30:00",55035.151
"2004-11-28 16:30:00",55287.987
"2004-11-28 17:30:00",54602.434
"2004-11-28 18:30:00",54493.092
"2004-11-28 19:30:00",54553.744
"2004-11-28 20:30:00",54274
"2004-11-28 21:30:00",52619.979
"2004-11-28 22:30:00",51428.509
"2004-11-28 23:30:00",47533.739
"2004-11-29 00:30:00",42460.434
"2004-11-29 01:30:00",37865.331
"2004-11-29 02:30:00",35589.878
"2004-11-29 03:30:00",31999.44
"2004-11-29 04:30:00",29972.202
"2004-11-29 05:30:00",28900.201
"2004-11-29 06:30:00",28501.095
"2004-11-29 07:30:00",32438.902
"2004-11-29 08:30:00",49461.161
"2004-11-29 09:30:00",67889.4
"2004-11-29 10:30:00",75509
"2004-11-29 11:30:00",80523
"2004-11-29 12:30:00",81577.838
"2004-11-29 13:30:00",85024.332
"2004-11-29 14:30:00",86160.165
"2004-11-29 15:30:00",82759.857
"2004-11-29 16:30:00",72696.1
"2004-11-29 17:30:00",64397.93
"2004-11-29 18:30:00",60648
"2004-11-29 19:30:00",58350.27
"2004-11-29 20:30:00",54538.735
"2004-11-29 21:30:00",52054.286
"2004-11-29 22:30:00",48751.066
"2004-11-29 23:30:00",45148.215
"2004-11-30 00:30:00",42130.732
"2004-11-30 01:30:00",36189.368
"2004-11-30 02:30:00",33105.464
"2004-11-30 03:30:00",29913.977
"2004-11-30 04:30:00",27277.185
"2004-11-30 05:30:00",27026.326
"2004-11-30 06:30:00",26245.195
"2004-11-30 07:30:00",32329.168
"2004-11-30 08:30:00",50078.847
"2004-11-30 09:30:00",68732.697
"2004-11-30 10:30:00",75319
"2004-11-30 11:30:00",92221.713
"2004-11-30 12:30:00",100538.752
"2004-11-30 13:30:00",104006.471
"2004-11-30 14:30:00",107104.349
"2004-11-30 15:30:00",103349.576
"2004-11-30 16:30:00",88486.319
"2004-11-30 17:30:00",74831.493
"2004-11-30 18:30:00",74798.91
"2004-11-30 19:30:00",69512.555
"2004-11-30 20:30:00",68124.378
"2004-11-30 21:30:00",66013.225
"2004-11-30 22:30:00",67082.953
"2004-11-30 23:30:00",63436.452
"2004-12-01 00:30:00",58264.328
"2004-12-01 01:30:00",49253.214
"2004-12-01 02:30:00",43793.885
"2004-12-01 03:30:00",39106.299
"2004-12-01 04:30:00",35678.57
"2004-12-01 05:30:00",35011.907
"2004-12-01 06:30:00",30168.753
"2004-12-01 07:30:00",32005.156
"2004-12-01 08:30:00",54237.304
"2004-12-01 09:30:00",80516.668
"2004-12-01 10:30:00",88020.643
"2004-12-01 11:30:00",96246.398
"2004-12-01 12:30:00",97177.838
"2004-12-01 13:30:00",101150.524
"2004-12-01 14:30:00",101657.483
"2004-12-01 15:30:00",95109.579
"2004-12-01 16:30:00",85348.865
"2004-12-01 17:30:00",77682.573
"2004-12-01 18:30:00",75995.082
"2004-12-01 19:30:00",71526.66
"2004-12-01 20:30:00",65109.184
"2004-12-01 21:30:00",63147.478
"2004-12-01 22:30:00",62795.623
"2004-12-01 23:30:00",59416.704
"2004-12-02 00:30:00",55802.401
"2004-12-02 01:30:00",49038
"2004-12-02 02:30:00",44824.18
"2004-12-02 03:30:00",41262.35
"2004-12-02 04:30:00",38502.842
"2004-12-02 05:30:00",36738.184
"2004-12-02 06:30:00",36125.825
"2004-12-02 07:30:00",41135.725
"2004-12-02 08:30:00",65474.571
"2004-12-02 09:30:00",82467.574
"2004-12-02 10:30:00",93079.356
"2004-12-02 11:30:00",102599.388
"2004-12-02 12:30:00",108057.727
"2004-12-02 13:30:00",112837.65
"2004-12-02 14:30:00",111399.188
"2004-12-02 15:30:00",103742.559
"2004-12-02 16:30:00",93405.254
"2004-12-02 17:30:00",86868.704
"2004-12-02 18:30:00",84285.964
"2004-12-02 19:30:00",80778.869
"2004-12-02 20:30:00",78999.243
"2004-12-02 21:30:00",77799.562
"2004-12-02 22:30:00",75494.775
"2004-12-02 23:30:00",74831.129
"2004-12-03 00:30:00",67754.882
"2004-12-03 01:30:00",62394.256
"2004-12-03 02:30:00",56962.353
"2004-12-03 03:30:00",53557.731
"2004-12-03 04:30:00",50272.128
"2004-12-03 05:30:00",48009.547
"2004-12-03 06:30:00",45399.898
"2004-12-03 07:30:00",52307.46
"2004-12-03 08:30:00",70881.884
"2004-12-03 09:30:00",89448
"2004-12-03 10:30:00",80168.813
"2004-12-03 11:30:00",87495.915
"2004-12-03 12:30:00",85857.664
"2004-12-03 13:30:00",90273.327
"2004-12-03 14:30:00",87279.396
"2004-12-03 15:30:00",80299.083
"2004-12-03 16:30:00",67974.606
"2004-12-03 17:30:00",61223.856
"2004-12-03 18:30:00",57414.229
"2004-12-03 19:30:00",56959.325
"2004-12-03 20:30:00",52867
"2004-12-03 21:30:00",52518.324
"2004-12-03 22:30:00",49083.899
"2004-12-03 23:30:00",49012.254
"2004-12-04 00:30:00",43615.802
"2004-12-04 01:30:00",44068.312
"2004-12-04 02:30:00",39605.581
"2004-12-04 03:30:00",37475.36
"2004-12-04 04:30:00",33046.556
"2004-12-04 05:30:00",32713.706
"2004-12-04 06:30:00",29702.747
"2004-12-04 07:30:00",31026.956
"2004-12-04 08:30:00",32024.429
"2004-12-04 09:30:00",37573.582
"2004-12-04 10:30:00",40847.819
"2004-12-04 11:30:00",45148.581
"2004-12-04 12:30:00",48153.846
"2004-12-04 13:30:00",54414.212
"2004-12-04 14:30:00",55386.762
"2004-12-04 15:30:00",58545
"2004-12-04 16:30:00",54325.468
"2004-12-04 17:30:00",56527.491
"2004-12-04 18:30:00",52735.547
"2004-12-04 19:30:00",55192.6
"2004-12-04 20:30:00",52802.947
"2004-12-04 21:30:00",53506.146
"2004-12-04 22:30:00",51269.499
"2004-12-04 23:30:00",50421.739
"2004-12-05 00:30:00",47555.374
"2004-12-05 01:30:00",43531.916
"2004-12-05 02:30:00",42098.476
"2004-12-05 03:30:00",35893.256
"2004-12-05 04:30:00",34565.454
"2004-12-05 05:30:00",29827.05
"2004-12-05 06:30:00",30631.979
"2004-12-05 07:30:00",28932.115
"2004-12-05 08:30:00",31481.864
"2004-12-05 09:30:00",33070.414
"2004-12-05 10:30:00",38476.669
"2004-12-05 11:30:00",44300.867
"2004-12-05 12:30:00",49149.844
"2004-12-05 13:30:00",52912.078
"2004-12-05 14:30:00",57696.298
"2004-12-05 15:30:00",57669.484
"2004-12-05 16:30:00",58079.9
"2004-12-05 17:30:00",56645.24
"2004-12-05 18:30:00",56181.065
"2004-12-05 19:30:00",55270
"2004-12-05 20:30:00",53634.613
"2004-12-05 21:30:00",54419.289
"2004-12-05 22:30:00",53052.114
"2004-12-05 23:30:00",50954.808
"2004-12-06 00:30:00",45809.101
"2004-12-06 01:30:00",40245
"2004-12-06 02:30:00",36423.172
"2004-12-06 03:30:00",32862.705
"2004-12-06 04:30:00",30332.592
"2004-12-06 05:30:00",29028.572
"2004-12-06 06:30:00",28847.186
"2004-12-06 07:30:00",33673.148
"2004-12-06 08:30:00",55223.242
"2004-12-06 09:30:00",72266.964
"2004-12-06 10:30:00",80883.772
"2004-12-06 11:30:00",87918.214
"2004-12-06 12:30:00",89166
"2004-12-06 13:30:00",91226
"2004-12-06 14:30:00",91778.493
"2004-12-06 15:30:00",85757.243
"2004-12-06 16:30:00",78133.241
"2004-12-06 17:30:00",69761.898
"2004-12-06 18:30:00",66419.685
"2004-12-06 19:30:00",61680.725
"2004-12-06 20:30:00",58289.419
"2004-12-06 21:30:00",55792.679
"2004-12-06 22:30:00",54811.306
"2004-12-06 23:30:00",50043.82
"2004-12-07 00:30:00",45475.842
"2004-12-07 01:30:00",41406.626
"2004-12-07 02:30:00",38624.771
"2004-12-07 03:30:00",33913.828
"2004-12-07 04:30:00",30401.173
"2004-12-07 05:30:00",29635.565
"2004-12-07 06:30:00",29031.481
"2004-12-07 07:30:00",32506.156
"2004-12-07 08:30:00",53181.102
"2004-12-07 09:30:00",70535.251
"2004-12-07 10:30:00",80362.217
"2004-12-07 11:30:00",86554.128
"2004-12-07 12:30:00",87539.785
"2004-12-07 13:30:00",90532.853
"2004-12-07 14:30:00",91474.874
"2004-12-07 15:30:00",84942.878
"2004-12-07 16:30:00",73482.245
"2004-12-07 17:30:00",65249.946
"2004-12-07 18:30:00",64664.419
"2004-12-07 19:30:00",60923.59
"2004-12-07 20:30:00",56993.531
"2004-12-07 21:30:00",54305.582
"2004-12-07 22:30:00",51523.252
"2004-12-07 23:30:00",49976.226
"2004-12-08 00:30:00",45549.591
"2004-12-08 01:30:00",40666.044
"2004-12-08 02:30:00",35652.233
"2004-12-08 03:30:00",31671
"2004-12-08 04:30:00",29047.436
"2004-12-08 05:30:00",26784.373
"2004-12-08 06:30:00",26418.377
"2004-12-08 07:30:00",31950.551
"2004-12-08 08:30:00",51543.423
"2004-12-08 09:30:00",68466.515
"2004-12-08 10:30:00",77996.542
"2004-12-08 11:30:00",84568.374
"2004-12-08 12:30:00",83362.625
"2004-12-08 13:30:00",92336.437
"2004-12-08 14:30:00",90560.842
"2004-12-08 15:30:00",83445.856
"2004-12-08 16:30:00",74962.686
"2004-12-08 17:30:00",67144.745
"2004-12-08 18:30:00",63641.43
"2004-12-08 19:30:00",60730.077
"2004-12-08 20:30:00",57745.563
"2004-12-08 21:30:00",54525.292
"2004-12-08 22:30:00",51384.208
"2004-12-08 23:30:00",49264
"2004-12-09 00:30:00",44518.666
"2004-12-09 01:30:00",40001.411
"2004-12-09 02:30:00",37012.245
"2004-12-09 03:30:00",34134.165
"2004-12-09 04:30:00",30817.483
"2004-12-09 05:30:00",28610.709
"2004-12-09 06:30:00",28921.142
"2004-12-09 07:30:00",34124.636
"2004-12-09 08:30:00",54369.52
"2004-12-09 09:30:00",72559.595
"2004-12-09 10:30:00",79603.365
"2004-12-09 11:30:00",87629.284
"2004-12-09 12:30:00",87152.603
"2004-12-09 13:30:00",93420.954
"2004-12-09 14:30:00",94073.645
"2004-12-09 15:30:00",85660.864
"2004-12-09 16:30:00",74872.933
"2004-12-09 17:30:00",66375.726
"2004-12-09 18:30:00",62939.188
"2004-12-09 19:30:00",62600.85
"2004-12-09 20:30:00",58782.182
"2004-12-09 21:30:00",56805.86
"2004-12-09 22:30:00",54459.797
"2004-12-09 23:30:00",50150.238
"2004-12-10 00:30:00",44525.686
"2004-12-10 01:30:00",41474.054
"2004-12-10 02:30:00",39190.31
"2004-12-10 03:30:00",36423.637
"2004-12-10 04:30:00",35010.504
"2004-12-10 05:30:00",35310.084
"2004-12-10 06:30:00",35726.683
"2004-12-10 07:30:00",40796.188
"2004-12-10 08:30:00",59539.977
"2004-12-10 09:30:00",77516.517
"2004-12-10 10:30:00",85855.956
"2004-12-10 11:30:00",92292.472
"2004-12-10 12:30:00",90515.584
"2004-12-10 13:30:00",93223.162
"2004-12-10 14:30:00",92415.43
"2004-12-10 15:30:00",84355.206
"2004-12-10 16:30:00",75752.371
"2004-12-10 17:30:00",67520
"2004-12-10 18:30:00",64695.361
"2004-12-10 19:30:00",60892.144
"2004-12-10 20:30:00",57914.256
"2004-12-10 21:30:00",53136.779
"2004-12-10 22:30:00",51770.21
"2004-12-10 23:30:00",50281.995
"2004-12-11 00:30:00",46538.44
"2004-12-11 01:30:00",42618.367
"2004-12-11 02:30:00",39521.851
"2004-12-11 03:30:00",35830.231
"2004-12-11 04:30:00",32806.894
"2004-12-11 05:30:00",30951.491
"2004-12-11 06:30:00",29855.901
"2004-12-11 07:30:00",29966.829
"2004-12-11 08:30:00",31805.162
"2004-12-11 09:30:00",34528.609
"2004-12-11 10:30:00",38559.238
"2004-12-11 11:30:00",42701.325
"2004-12-11 12:30:00",45711.781
"2004-12-11 13:30:00",50264.924
"2004-12-11 14:30:00",53492.441
"2004-12-11 15:30:00",54346.654
"2004-12-11 16:30:00",52282.914
"2004-12-11 17:30:00",50309.922
"2004-12-11 18:30:00",50900.305
"2004-12-11 19:30:00",52256.601
"2004-12-11 20:30:00",50330.869
"2004-12-11 21:30:00",49473.237
"2004-12-11 22:30:00",48249.176
"2004-12-11 23:30:00",46865
"2004-12-12 00:30:00",43687.721
"2004-12-12 01:30:00",41033.959
"2004-12-12 02:30:00",38032.974
"2004-12-12 03:30:00",35908.911
"2004-12-12 04:30:00",31592.429
"2004-12-12 05:30:00",28955.842
"2004-12-12 06:30:00",28677.878
"2004-12-12 07:30:00",28201.572
"2004-12-12 08:30:00",28829.847
"2004-12-12 09:30:00",28703.719
"2004-12-12 10:30:00",32662.607
"2004-12-12 11:30:00",37707.642
"2004-12-12 12:30:00",42564.133
"2004-12-12 13:30:00",46889.935
"2004-12-12 14:30:00",49070.403
"2004-12-12 15:30:00",52395.337
"2004-12-12 16:30:00",55136.823
"2004-12-12 17:30:00",54640.378
"2004-12-12 18:30:00",54671.148
"2004-12-12 19:30:00",55312.79
"2004-12-12 20:30:00",53356.312
"2004-12-12 21:30:00",51979.359
"2004-12-12 22:30:00",50311.982
"2004-12-12 23:30:00",46292.13
"2004-12-13 00:30:00",43253.362
"2004-12-13 01:30:00",40307.044
"2004-12-13 02:30:00",37171.708
"2004-12-13 03:30:00",33305.231
"2004-12-13 04:30:00",30880.803
"2004-12-13 05:30:00",29176.601
"2004-12-13 06:30:00",29477.058
"2004-12-13 07:30:00",33781.549
"2004-12-13 08:30:00",55709.826
"2004-12-13 09:30:00",72836.521
"2004-12-13 10:30:00",79390.304
"2004-12-13 11:30:00",83847.998
"2004-12-13 12:30:00",82586.886
"2004-12-13 13:30:00",89311.474
"2004-12-13 14:30:00",90090.834
"2004-12-13 15:30:00",83655.373
"2004-12-13 16:30:00",75037.801
"2004-12-13 17:30:00",64345.928
"2004-12-13 18:30:00",60905.762
"2004-12-13 19:30:00",57935.254
"2004-12-13 20:30:00",54901.754
"2004-12-13 21:30:00",53220.186
"2004-12-13 22:30:00",53116.73
"2004-12-13 23:30:00",48399
"2004-12-14 00:30:00",44900.407
"2004-12-14 01:30:00",41647.11
"2004-12-14 02:30:00",38520.385
"2004-12-14 03:30:00",36196.677
"2004-12-14 04:30:00",33423.14
"2004-12-14 05:30:00",32938.343
"2004-12-14 06:30:00",28815.322
"2004-12-14 07:30:00",33304.282
"2004-12-14 08:30:00",53794.599
"2004-12-14 09:30:00",72324.902
"2004-12-14 10:30:00",80303.875
"2004-12-14 11:30:00",85672.821
"2004-12-14 12:30:00",83661
"2004-12-14 13:30:00",88313.678
"2004-12-14 14:30:00",91323.957
"2004-12-14 15:30:00",85076.436
"2004-12-14 16:30:00",73140.546
"2004-12-14 17:30:00",64014.123
"2004-12-14 18:30:00",60864.796
"2004-12-14 19:30:00",57203.41
"2004-12-14 20:30:00",55244.68
"2004-12-14 21:30:00",52074.34
"2004-12-14 22:30:00",50279.168
"2004-12-14 23:30:00",49256.589
"2004-12-15 00:30:00",44207.153
"2004-12-15 01:30:00",40711.075
"2004-12-15 02:30:00",36846.248
"2004-12-15 03:30:00",31198.652
"2004-12-15 04:30:00",27474.118
"2004-12-15 05:30:00",26454.972
"2004-12-15 06:30:00",25532.123
"2004-12-15 07:30:00",31036.272
"2004-12-15 08:30:00",50650
"2004-12-15 09:30:00",68305.559
"2004-12-15 10:30:00",75805.898
"2004-12-15 11:30:00",79526.782
"2004-12-15 12:30:00",76540.695
"2004-12-15 13:30:00",81551.427
"2004-12-15 14:30:00",80618.849
"2004-12-15 15:30:00",73336.401
"2004-12-15 16:30:00",63554
"2004-12-15 17:30:00",55092.606
"2004-12-15 18:30:00",52813.306
"2004-12-15 19:30:00",50660.787
"2004-12-15 20:30:00",47754.179
"2004-12-15 21:30:00",45399.997
"2004-12-15 22:30:00",44384.668
"2004-12-15 23:30:00",42154.161
"2004-12-16 00:30:00",38311.938
"2004-12-16 01:30:00",34952.713
"2004-12-16 02:30:00",30711.805
"2004-12-16 03:30:00",27493.618
"2004-12-16 04:30:00",25398.265
"2004-12-16 05:30:00",24573.88
"2004-12-16 06:30:00",23953.868
"2004-12-16 07:30:00",30497.844
"2004-12-16 08:30:00",51378.822
"2004-12-16 09:30:00",69994.205
"2004-12-16 10:30:00",74193.284
"2004-12-16 11:30:00",77678.268
"2004-12-16 12:30:00",75699.176
"2004-12-16 13:30:00",79756.129
"2004-12-16 14:30:00",79761.117
"2004-12-16 15:30:00",73637
"2004-12-16 16:30:00",62498.87
"2004-12-16 17:30:00",55072.861
"2004-12-16 18:30:00",54448.863
"2004-12-16 19:30:00",50863.806
"2004-12-16 20:30:00",49944.891
"2004-12-16 21:30:00",48313.887
"2004-12-16 22:30:00",45433.639
"2004-12-16 23:30:00",46743.778
"2004-12-17 00:30:00",43379.557
"2004-12-17 01:30:00",39902.47
"2004-12-17 02:30:00",35692.36
"2004-12-17 03:30:00",30818.634
"2004-12-17 04:30:00",31599.945
"2004-12-17 05:30:00",27567.438
"2004-12-17 06:30:00",28136.723
"2004-12-17 07:30:00",33631.969
"2004-12-17 08:30:00",49471.286
"2004-12-17 09:30:00",64139.679
"2004-12-17 10:30:00",70816.209
"2004-12-17 11:30:00",72766.914
"2004-12-17 12:30:00",68427.757
"2004-12-17 13:30:00",68818.332
"2004-12-17 14:30:00",68556.788
"2004-12-17 15:30:00",62721.553
"2004-12-17 16:30:00",53987.602
"2004-12-17 17:30:00",48479.403
"2004-12-17 18:30:00",42758
"2004-12-17 19:30:00",42220.28
"2004-12-17 20:30:00",38303.626
"2004-12-17 21:30:00",36347.35
"2004-12-17 22:30:00",37033.163
"2004-12-17 23:30:00",34643.117
"2004-12-18 00:30:00",34068.865
"2004-12-18 01:30:00",30985.26
"2004-12-18 02:30:00",29025
"2004-12-18 03:30:00",27472.894
"2004-12-18 04:30:00",24427.68
"2004-12-18 05:30:00",24529.743
"2004-12-18 06:30:00",21979.348
"2004-12-18 07:30:00",24037.561
"2004-12-18 08:30:00",25360.966
"2004-12-18 09:30:00",26291.493
"2004-12-18 10:30:00",31008.233
"2004-12-18 11:30:00",31011.534
"2004-12-18 12:30:00",35254.869
"2004-12-18 13:30:00",35150.481
"2004-12-18 14:30:00",37300.231
"2004-12-18 15:30:00",38076.429
"2004-12-18 16:30:00",37752.21
"2004-12-18 17:30:00",37177.528
"2004-12-18 18:30:00",35015.099
"2004-12-18 19:30:00",37228.588
"2004-12-18 20:30:00",34992
"2004-12-18 21:30:00",35011.088
"2004-12-18 22:30:00",34800.127
"2004-12-18 23:30:00",32280.437
"2004-12-19 00:30:00",33392.89
"2004-12-19 01:30:00",29156.642
"2004-12-19 02:30:00",26090
"2004-12-19 03:30:00",27186.725
"2004-12-19 04:30:00",22875.955
"2004-12-19 05:30:00",23709.858
"2004-12-19 06:30:00",21917.519
"2004-12-19 07:30:00",21782.322
"2004-12-19 08:30:00",23156.664
"2004-12-19 09:30:00",24021.871
"2004-12-19 10:30:00",27853.05
"2004-12-19 11:30:00",28611.285
"2004-12-19 12:30:00",32932.49
"2004-12-19 13:30:00",31245.961
"2004-12-19 14:30:00",36040.11
"2004-12-19 15:30:00",34510.436
"2004-12-19 16:30:00",36601.457
"2004-12-19 17:30:00",32838.846
"2004-12-19 18:30:00",37653.087
"2004-12-19 19:30:00",33750.114
