"Date","Daily foreign exchange rates, 31 December 1979 ? 31 December 1998"
"1981-06-10",2.372
"1981-06-11",2.405
"1981-06-12",2.395
"1981-06-15",2.346
"1981-06-16",2.348
"1981-06-17",2.349
"1981-06-18",2.372
"1981-06-19",2.378
"1981-06-22",2.363
"1981-06-23",2.356
"1981-06-24",2.37
"1981-06-25",2.393
"1981-06-26",2.388
"1981-06-29",2.393
"1981-06-30",2.394
"1981-07-01",2.413
"1981-07-02",2.412
"1981-07-03",2.416
"1981-07-06",2.449
"1981-07-07",2.444
"1981-07-08",2.476
"1981-07-09",2.466
"1981-07-10",2.439
"1981-07-13",2.423
"1981-07-14",2.448
"1981-07-15",2.408
"1981-07-16",2.411
"1981-07-17",2.427
"1981-07-20",2.447
"1981-07-21",2.47
"1981-07-22",2.441
"1981-07-23",2.446
"1981-07-24",2.438
"1981-07-27",2.436
"1981-07-28",2.441
"1981-07-29",2.458
"1981-07-30",2.457
"1981-07-31",2.471
"1981-08-03",2.527
"1981-08-04",2.535
"1981-08-05",2.51
"1981-08-06",2.522
"1981-08-07",2.532
"1981-08-10",2.571
"1981-08-11",2.559
"1981-08-12",2.499
"1981-08-13",2.517
"1981-08-14",2.527
"1981-08-17",2.497
"1981-08-18",2.498
"1981-08-19",2.498
"1981-08-20",2.471
"1981-08-21",2.449
"1981-08-24",2.474
"1981-08-25",2.504
"1981-08-26",2.465
"1981-08-27",2.476
"1981-08-28",2.451
"1981-08-31",2.448
"1981-09-01",2.456
"1981-09-02",2.44
"1981-09-03",2.426
"1981-09-04",2.411
"1981-09-08",2.437
"1981-09-09",2.43
"1981-09-10",2.399
"1981-09-11",2.401
"1981-09-14",2.376
"1981-09-15",2.338
"1981-09-16",2.307
"1981-09-17",2.28
"1981-09-18",2.27
"1981-09-21",2.23
"1981-09-22",2.282
"1981-09-23",2.3
"1981-09-24",2.317
"1981-09-25",2.323
"1981-09-28",2.34
"1981-09-29",2.311
"1981-09-30",2.325
"1981-10-01",2.323
"1981-10-02",2.294
"1981-10-05",2.225
"1981-10-06",2.253
"1981-10-07",2.219
"1981-10-08",2.206
"1981-10-09",2.191
"1981-10-13",2.222
"1981-10-14",2.223
"1981-10-15",2.23
"1981-10-16",2.238
"1981-10-19",2.233
"1981-10-20",2.237
"1981-10-21",2.273
"1981-10-22",2.282
"1981-10-23",2.275
"1981-10-26",2.31
"1981-10-27",2.306
"1981-10-28",2.291
"1981-10-29",2.27
"1981-10-30",2.244
"1981-11-02",2.223
"1981-11-04",2.212
"1981-11-05",2.225
"1981-11-06",2.222
"1981-11-09",2.206
"1981-11-10",2.229
"1981-11-12",2.212
"1981-11-13",2.222
"1981-11-16",2.241
"1981-11-17",2.252
"1981-11-18",2.236
"1981-11-19",2.244
"1981-11-20",2.259
"1981-11-23",2.253
"1981-11-24",2.23
"1981-11-25",2.232
"1981-11-27",2.216
"1981-11-30",2.214
"1981-12-01",2.224
"1981-12-02",2.218
"1981-12-03",2.232
"1981-12-04",2.227
"1981-12-07",2.241
"1981-12-08",2.249
"1981-12-09",2.241
"1981-12-10",2.254
"1981-12-11",2.261
"1981-12-14",2.283
"1981-12-15",2.268
"1981-12-16",2.278
"1981-12-17",2.277
"1981-12-18",2.292
"1981-12-21",2.284
"1981-12-22",2.273
"1981-12-23",2.275
"1981-12-24",2.268
"1981-12-28",2.27
"1981-12-29",2.272
"1981-12-30",2.251
"1981-12-31",2.238
"1982-01-04",2.241
"1982-01-05",2.262
"1982-01-06",2.246
"1982-01-07",2.261
"1982-01-08",2.259
"1982-01-11",2.284
"1982-01-12",2.287
"1982-01-13",2.293
"1982-01-14",2.306
"1982-01-15",2.312
"1982-01-18",2.298
"1982-01-19",2.295
"1982-01-20",2.309
"1982-01-21",2.297
"1982-01-22",2.309
"1982-01-25",2.338
"1982-01-26",2.314
"1982-01-27",2.323
"1982-01-28",2.328
"1982-01-29",2.317
"1982-02-01",2.35
"1982-02-02",2.353
"1982-02-03",2.36
"1982-02-04",2.342
"1982-02-05",2.345
"1982-02-08",2.358
"1982-02-09",2.375
"1982-02-10",2.367
"1982-02-11",2.367
"1982-02-16",2.396
"1982-02-17",2.399
"1982-02-18",2.366
"1982-02-19",2.365
"1982-02-22",2.352
"1982-02-23",2.373
"1982-02-24",2.367
"1982-02-25",2.37
"1982-02-26",2.388
"1982-03-01",2.388
"1982-03-02",2.377
"1982-03-03",2.372
"1982-03-04",2.365
"1982-03-05",2.344
"1982-03-08",2.343
"1982-03-09",2.368
"1982-03-10",2.358
"1982-03-11",2.371
"1982-03-12",2.38
"1982-03-15",2.374
"1982-03-16",2.378
"1982-03-17",2.373
"1982-03-18",2.375
"1982-03-19",2.384
"1982-03-22",2.391
"1982-03-23",2.385
"1982-03-24",2.387
"1982-03-25",2.394
"1982-03-26",2.396
"1982-03-29",2.415
"1982-03-30",2.408
"1982-03-31",2.418
"1982-04-01",2.403
"1982-04-02",2.398
"1982-04-05",2.408
"1982-04-06",2.414
"1982-04-07",2.414
"1982-04-08",2.423
"1982-04-09",2.423
"1982-04-12",2.42
"1982-04-13",2.412
"1982-04-14",2.419
"1982-04-15",2.425
"1982-04-16",2.422
"1982-04-19",2.41
"1982-04-20",2.399
"1982-04-21",2.395
"1982-04-22",2.396
"1982-04-23",2.388
"1982-04-26",2.374
"1982-04-27",2.369
"1982-04-28",2.356
"1982-04-29",2.339
"1982-04-30",2.331
"1982-05-03",2.339
"1982-05-04",2.345
"1982-05-05",2.321
"1982-05-06",2.31
"1982-05-07",2.29
"1982-05-10",2.286
"1982-05-11",2.282
"1982-05-12",2.283
"1982-05-13",2.293
"1982-05-14",2.307
"1982-05-17",2.305
"1982-05-18",2.317
"1982-05-19",2.319
"1982-05-20",2.317
"1982-05-21",2.306
"1982-05-24",2.301
"1982-05-25",2.315
"1982-05-26",2.329
"1982-05-27",2.346
"1982-05-28",2.348
"1982-06-01",2.376
"1982-06-02",2.369
"1982-06-03",2.363
"1982-06-04",2.365
"1982-06-07",2.382
"1982-06-08",2.401
"1982-06-09",2.415
"1982-06-10",2.413
"1982-06-11",2.395
"1982-06-14",2.422
"1982-06-15",2.42
"1982-06-16",2.434
"1982-06-17",2.446
"1982-06-18",2.461
"1982-06-21",2.478
"1982-06-22",2.454
"1982-06-23",2.477
"1982-06-24",2.474
"1982-06-25",2.487
"1982-06-28",2.493
"1982-06-29",2.463
"1982-06-30",2.46
"1982-07-01",2.47
"1982-07-02",2.477
"1982-07-06",2.49
"1982-07-07",2.511
"1982-07-08",2.514
"1982-07-09",2.494
"1982-07-12",2.478
"1982-07-13",2.497
"1982-07-14",2.496
"1982-07-15",2.493
"1982-07-16",2.477
"1982-07-19",2.474
"1982-07-20",2.451
"1982-07-21",2.431
"1982-07-22",2.433
"1982-07-23",2.396
"1982-07-26",2.409
"1982-07-27",2.428
"1982-07-28",2.45
"1982-07-29",2.46
"1982-07-30",2.466
"1982-08-02",2.434
"1982-08-03",2.442
"1982-08-04",2.486
"1982-08-05",2.486
"1982-08-06",2.497
"1982-08-09",2.518
"1982-08-10",2.516
"1982-08-11",2.523
"1982-08-12",2.518
"1982-08-13",2.51
"1982-08-16",2.52
"1982-08-17",2.507
"1982-08-18",2.48
"1982-08-19",2.486
"1982-08-20",2.453
"1982-08-23",2.455
"1982-08-24",2.418
"1982-08-25",2.428
"1982-08-26",2.439
"1982-08-27",2.471
"1982-08-30",2.507
"1982-08-31",2.497
"1982-09-01",2.491
"1982-09-02",2.474
"1982-09-03",2.476
"1982-09-07",2.474
"1982-09-08",2.488
"1982-09-09",2.481
"1982-09-10",2.505
"1982-09-13",2.519
"1982-09-14",2.513
"1982-09-15",2.515
"1982-09-16",2.513
"1982-09-17",2.501
"1982-09-20",2.503
"1982-09-21",2.505
"1982-09-22",2.497
"1982-09-23",2.509
"1982-09-24",2.514
"1982-09-27",2.541
"1982-09-28",2.543
"1982-09-29",2.528
"1982-09-30",2.529
"1982-10-01",2.526
"1982-10-04",2.554
"1982-10-05",2.552
"1982-10-06",2.545
"1982-10-07",2.523
"1982-10-08",2.527
"1982-10-12",2.489
"1982-10-13",2.511
"1982-10-14",2.517
"1982-10-15",2.517
"1982-10-18",2.515
"1982-10-19",2.516
"1982-10-20",2.525
"1982-10-21",2.53
"1982-10-22",2.529
"1982-10-25",2.555
"1982-10-26",2.548
"1982-10-27",2.543
"1982-10-28",2.561
"1982-10-29",2.56
"1982-11-01",2.553
"1982-11-03",2.558
"1982-11-04",2.576
"1982-11-05",2.579
"1982-11-08",2.596
"1982-11-09",2.582
"1982-11-10",2.577
"1982-11-12",2.591
"1982-11-15",2.587
"1982-11-16",2.572
"1982-11-17",2.574
"1982-11-18",2.569
"1982-11-19",2.543
"1982-11-22",2.546
"1982-11-23",2.549
"1982-11-24",2.527
"1982-11-26",2.507
"1982-11-29",2.485
"1982-11-30",2.465
"1982-12-01",2.467
"1982-12-02",2.448
"1982-12-03",2.426
"1982-12-06",2.429
"1982-12-07",2.425
"1982-12-08",2.434
"1982-12-09",2.459
"1982-12-10",2.453
"1982-12-13",2.478
"1982-12-14",2.439
"1982-12-15",2.451
"1982-12-16",2.417
"1982-12-17",2.421
"1982-12-20",2.418
"1982-12-21",2.407
"1982-12-22",2.405
"1982-12-23",2.396
"1982-12-24",2.39
"1982-12-27",2.382
"1982-12-28",2.371
"1982-12-29",2.373
"1982-12-30",2.382
"1982-12-31",2.378
"1983-01-03",2.374
"1983-01-04",2.366
"1983-01-05",2.349
"1983-01-06",2.35
"1983-01-07",2.338
"1983-01-10",2.332
"1983-01-11",2.345
"1983-01-12",2.361
"1983-01-13",2.342
"1983-01-14",2.355
"1983-01-17",2.358
"1983-01-18",2.393
"1983-01-19",2.414
"1983-01-20",2.423
"1983-01-21",2.442
"1983-01-24",2.465
"1983-01-25",2.422
"1983-01-26",2.426
"1983-01-27",2.427
"1983-01-28",2.432
"1983-01-31",2.465
"1983-02-01",2.464
"1983-02-02",2.495
"1983-02-03",2.466
"1983-02-04",2.476
"1983-02-07",2.451
"1983-02-08",2.443
"1983-02-09",2.431
"1983-02-10",2.411
"1983-02-11",2.406
"1983-02-14",2.413
"1983-02-15",2.41
"1983-02-16",2.388
"1983-02-17",2.397
"1983-02-18",2.397
"1983-02-22",2.41
"1983-02-23",2.418
"1983-02-24",2.409
"1983-02-25",2.415
"1983-02-28",2.434
"1983-03-01",2.443
"1983-03-02",2.432
"1983-03-03",2.425
"1983-03-04",2.403
"1983-03-07",2.389
"1983-03-08",2.406
"1983-03-09",2.407
"1983-03-10",2.394
"1983-03-11",2.399
"1983-03-14",2.384
"1983-03-15",2.388
"1983-03-16",2.381
"1983-03-17",2.388
"1983-03-18",2.396
"1983-03-21",2.417
"1983-03-22",2.418
"1983-03-23",2.425
"1983-03-24",2.422
"1983-03-25",2.417
"1983-03-28",2.434
"1983-03-29",2.431
"1983-03-30",2.428
"1983-03-31",2.431
"1983-04-01",2.427
"1983-04-04",2.419
"1983-04-05",2.418
"1983-04-06",2.413
"1983-04-07",2.417
"1983-04-08",2.427
"1983-04-11",2.423
"1983-04-12",2.425
"1983-04-13",2.442
"1983-04-14",2.443
"1983-04-15",2.437
"1983-04-18",2.459
"1983-04-19",2.45
"1983-04-20",2.461
"1983-04-21",2.456
"1983-04-22",2.447
"1983-04-25",2.445
"1983-04-26",2.451
"1983-04-27",2.449
"1983-04-28",2.464
"1983-04-29",2.467
"1983-05-02",2.462
"1983-05-03",2.458
"1983-05-04",2.447
"1983-05-05",2.444
"1983-05-06",2.442
"1983-05-09",2.435
"1983-05-10",2.444
"1983-05-11",2.437
"1983-05-12",2.441
"1983-05-13",2.443
"1983-05-16",2.462
"1983-05-17",2.462
"1983-05-18",2.465
"1983-05-19",2.479
"1983-05-20",2.478
"1983-05-23",2.485
"1983-05-24",2.494
"1983-05-25",2.49
"1983-05-26",2.495
"1983-05-27",2.515
"1983-05-31",2.525
"1983-06-01",2.548
"1983-06-02",2.541
"1983-06-03",2.543
"1983-06-06",2.565
"1983-06-07",2.569
"1983-06-08",2.568
"1983-06-09",2.565
"1983-06-10",2.556
"1983-06-13",2.554
"1983-06-14",2.565
"1983-06-15",2.568
"1983-06-16",2.556
"1983-06-17",2.559
"1983-06-20",2.546
"1983-06-21",2.55
"1983-06-22",2.522
"1983-06-23",2.524
"1983-06-24",2.526
"1983-06-27",2.533
"1983-06-28",2.54
"1983-06-29",2.544
"1983-06-30",2.541
"1983-07-01",2.541
"1983-07-05",2.569
"1983-07-06",2.568
"1983-07-07",2.577
"1983-07-08",2.578
"1983-07-11",2.586
"1983-07-12",2.588
"1983-07-13",2.585
"1983-07-14",2.578
"1983-07-15",2.599
"1983-07-18",2.597
"1983-07-19",2.592
"1983-07-20",2.577
"1983-07-21",2.582
"1983-07-22",2.592
"1983-07-25",2.607
"1983-07-26",2.611
"1983-07-27",2.625
"1983-07-28",2.629
"1983-07-29",2.649
"1983-08-01",2.679
"1983-08-02",2.661
"1983-08-03",2.661
"1983-08-04",2.67
"1983-08-05",2.682
"1983-08-08",2.696
"1983-08-09",2.69
"1983-08-10",2.725
"1983-08-11",2.735
"1983-08-12",2.724
"1983-08-15",2.711
"1983-08-16",2.662
"1983-08-17",2.641
"1983-08-18",2.635
"1983-08-19",2.656
"1983-08-22",2.635
"1983-08-23",2.629
"1983-08-24",2.636
"1983-08-25",2.64
"1983-08-26",2.663
"1983-08-29",2.68
"1983-08-30",2.688
"1983-08-31",2.697
"1983-09-01",2.696
"1983-09-02",2.696
"1983-09-06",2.681
"1983-09-07",2.688
"1983-09-08",2.677
"1983-09-09",2.673
"1983-09-12",2.661
"1983-09-13",2.68
"1983-09-14",2.687
"1983-09-15",2.68
"1983-09-16",2.667
"1983-09-19",2.658
"1983-09-20",2.669
"1983-09-21",2.667
"1983-09-22",2.683
"1983-09-23",2.653
"1983-09-26",2.646
"1983-09-27",2.651
"1983-09-28",2.646
"1983-09-29",2.641
"1983-09-30",2.632
"1983-10-03",2.623
"1983-10-04",2.628
"1983-10-05",2.596
"1983-10-06",2.581
"1983-10-07",2.567
"1983-10-11",2.587
"1983-10-12",2.614
"1983-10-13",2.605
"1983-10-14",2.618
"1983-10-17",2.603
"1983-10-18",2.584
"1983-10-19",2.585
"1983-10-20",2.589
"1983-10-21",2.583
"1983-10-24",2.61
"1983-10-25",2.604
"1983-10-26",2.618
"1983-10-27",2.619
"1983-10-28",2.621
"1983-10-31",2.632
"1983-11-01",2.655
"1983-11-02",2.645
"1983-11-03",2.659
"1983-11-04",2.671
"1983-11-07",2.68
"1983-11-09",2.668
"1983-11-10",2.658
"1983-11-14",2.676
"1983-11-15",2.678
"1983-11-16",2.687
"1983-11-17",2.698
"1983-11-18",2.705
"1983-11-21",2.701
"1983-11-22",2.689
"1983-11-23",2.703
"1983-11-25",2.712
"1983-11-28",2.712
"1983-11-29",2.715
"1983-11-30",2.699
"1983-12-01",2.702
"1983-12-02",2.712
"1983-12-05",2.744
"1983-12-06",2.735
"1983-12-07",2.736
"1983-12-08",2.735
"1983-12-09",2.752
"1983-12-12",2.753
"1983-12-13",2.771
"1983-12-14",2.767
"1983-12-15",2.772
"1983-12-16",2.777
"1983-12-19",2.772
"1983-12-20",2.768
"1983-12-21",2.769
"1983-12-22",2.769
"1983-12-23",2.759
"1983-12-27",2.756
"1983-12-28",2.752
"1983-12-29",2.729
"1983-12-30",2.725
"1984-01-03",2.761
"1984-01-04",2.788
"1984-01-05",2.798
"1984-01-06",2.811
"1984-01-09",2.829
"1984-01-10",2.814
"1984-01-11",2.84
"1984-01-12",2.84
"1984-01-13",2.808
"1984-01-16",2.798
"1984-01-17",2.809
"1984-01-18",2.803
"1984-01-19",2.793
"1984-01-20",2.821
"1984-01-23",2.812
"1984-01-24",2.826
"1984-01-25",2.823
"1984-01-26",2.811
"1984-01-27",2.821
"1984-01-30",2.812
"1984-01-31",2.817
"1984-02-01",2.792
"1984-02-02",2.76
"1984-02-03",2.736
"1984-02-06",2.743
"1984-02-07",2.766
"1984-02-08",2.754
"1984-02-09",2.738
"1984-02-10",2.742
"1984-02-14",2.722
"1984-02-15",2.667
"1984-02-16",2.674
"1984-02-17",2.683
"1984-02-21",2.708
"1984-02-22",2.663
"1984-02-23",2.662
"1984-02-24",2.625
"1984-02-27",2.636
"1984-02-28",2.604
"1984-02-29",2.598
"1984-03-01",2.611
"1984-03-02",2.586
"1984-03-05",2.58
"1984-03-06",2.552
"1984-03-07",2.555
"1984-03-08",2.588
"1984-03-09",2.582
"1984-03-12",2.603
"1984-03-13",2.572
"1984-03-14",2.566
"1984-03-15",2.584
"1984-03-16",2.628
"1984-03-19",2.629
"1984-03-20",2.637
"1984-03-21",2.647
"1984-03-22",2.636
"1984-03-23",2.629
"1984-03-26",2.6
"1984-03-27",2.589
"1984-03-28",2.592
"1984-03-29",2.586
"1984-03-30",2.594
"1984-04-02",2.598
"1984-04-03",2.623
"1984-04-04",2.622
"1984-04-05",2.631
"1984-04-06",2.623
"1984-04-09",2.631
"1984-04-10",2.619
"1984-04-11",2.61
"1984-04-12",2.618
"1984-04-13",2.626
"1984-04-16",2.635
"1984-04-17",2.642
"1984-04-18",2.646
"1984-04-19",2.66
"1984-04-20",2.666
"1984-04-23",2.662
"1984-04-24",2.683
"1984-04-25",2.681
"1984-04-26",2.697
"1984-04-27",2.705
"1984-04-30",2.722
"1984-05-01",2.729
"1984-05-02",2.727
"1984-05-03",2.705
"1984-05-04",2.724
"1984-05-07",2.773
"1984-05-08",2.782
"1984-05-09",2.768
"1984-05-10",2.779
"1984-05-11",2.774
"1984-05-14",2.756
"1984-05-15",2.743
"1984-05-16",2.746
"1984-05-17",2.76
"1984-05-18",2.777
"1984-05-21",2.756
"1984-05-22",2.742
"1984-05-23",2.759
"1984-05-24",2.743
"1984-05-25",2.728
"1984-05-29",2.732
"1984-05-30",2.736
"1984-05-31",2.732
"1984-06-01",2.685
"1984-06-04",2.666
"1984-06-05",2.686
"1984-06-06",2.678
"1984-06-07",2.695
"1984-06-08",2.698
"1984-06-11",2.715
"1984-06-12",2.725
"1984-06-13",2.716
"1984-06-14",2.721
"1984-06-15",2.741
"1984-06-18",2.756
"1984-06-19",2.759
"1984-06-20",2.779
"1984-06-21",2.783
"1984-06-22",2.783
"1984-06-25",2.804
"1984-06-26",2.787
"1984-06-27",2.797
"1984-06-28",2.784
"1984-06-29",2.782
"1984-07-02",2.792
"1984-07-03",2.821
"1984-07-05",2.829
"1984-07-06",2.839
"1984-07-09",2.841
"1984-07-10",2.824
"1984-07-11",2.841
"1984-07-12",2.849
"1984-07-13",2.832
"1984-07-16",2.822
"1984-07-17",2.849
"1984-07-18",2.863
"1984-07-19",2.845
"1984-07-20",2.86
"1984-07-23",2.877
"1984-07-24",2.868
"1984-07-25",2.852
"1984-07-26",2.847
"1984-07-27",2.886
"1984-07-30",2.894
"1984-07-31",2.906
"1984-08-01",2.918
"1984-08-02",2.898
"1984-08-03",2.861
"1984-08-06",2.886
"1984-08-07",2.915
"1984-08-08",2.906
"1984-08-09",2.9
"1984-08-10",2.898
"1984-08-13",2.915
